Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"PAR","decreto_lei_3689_19411003, Art. 5º, § 1º",128,135,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DO INQUÉRITO POLICIAL | ] O requerimento a que se refere o n. II conterá sempre que possível: a narração do fato, com todas as circunstâncias; a individualização do indiciado ou seus sinais característicos e as razões de convicção ou de presunção de ser ele o autor da infração, ou os motivos de impossibilidade de o fazer; a nomeação das testemunhas, com indicação de sua profissão e residência.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art5_par1
"PAR","decreto_lei_3689_19411003, Art. 5º, § 2º",136,137,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DO INQUÉRITO POLICIAL | ] Do despacho que indeferir o requerimento de abertura de inquérito caberá recurso para o chefe de Polícia.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art5_par2
"PAR","decreto_lei_3689_19411003, Art. 5º, § 3º",138,139,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DO INQUÉRITO POLICIAL | ] Qualquer pessoa do povo que tiver conhecimento da existência de infração penal em que caiba ação pública poderá, verbalmente ou por escrito, comunicá-la à autoridade policial, e esta, verificada a procedência das informações, mandará instaurar inquérito.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art5_par3
"PAR","decreto_lei_3689_19411003, Art. 5º, § 4º",140,141,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DO INQUÉRITO POLICIAL | ] O inquérito, nos crimes em que a ação pública depender de representação, não poderá sem ela ser iniciado.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art5_par4
"PAR","decreto_lei_3689_19411003, Art. 5º, § 5º",142,143,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DO INQUÉRITO POLICIAL | ] Nos crimes de ação privada, a autoridade policial somente poderá proceder a inquérito a requerimento de quem tenha qualidade para intentá-la.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art5_par5
"CPT","decreto_lei_3689_19411003, Art. 6º, caput",146,167,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DO INQUÉRITO POLICIAL | ] Logo que tiver conhecimento da prática da infração penal, a autoridade policial deverá: dirigir-se ao local, providenciando para que não se alterem o estado e conservação das coisas, até a chegada dos peritos criminais; (Inciso com redação dada pela Lei nº 8.862, de 28.3.1994, retificada no DOU de 5.8.1994) apreender os objetos que tiverem relação com o fato, após liberados pelos peritos criminais. (Inciso com redação dada pela Lei nº 8.862, de 28.3.1994, retificada no DOU de 5.8.1994) colher todas as provas que servirem para o esclarecimento do fato e suas circunstâncias; ouvir o ofendido; ouvir o indiciado, com observância, no que for aplicável, do disposto no Capítulo III do Título VII, deste Livro, devendo o respectivo termo ser assinado por duas testemunhas que lhe tenham ouvido a leitura; proceder a reconhecimento de pessoas e coisas e a acareações; determinar, se for caso, que se proceda a exame de corpo de delito e a quaisquer outras perícias; ordenar a identificação do indiciado pelo processo datiloscópico, se possível, e fazer juntar aos autos sua folha de antecedentes; averiguar a vida pregressa do indiciado, sob o ponto de vista individual, familiar e social, sua condição econômica, sua atitude e estado de ânimo antes e depois do crime e durante ele, e quaisquer outros elementos que contribuírem para a apreciação do seu temperamento e caráter; colher informações sobre a existência de filhos, respectivas idades e se possuem alguma deficiência e o nome e o contato de eventual responsável pelos cuidados dos filhos, indicado pela pessoa presa. (Inciso acrescido pela Lei nº 13.257, de 8.3.2016)",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art6_cpt
"CPT","decreto_lei_3689_19411003, Art. 7º, caput",170,171,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DO INQUÉRITO POLICIAL | ] Para verificar a possibilidade de haver a infração sido praticada de determinado modo, a autoridade policial poderá proceder à reprodução simulada dos fatos, desde que esta não contrarie a moralidade ou a ordem pública.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art7_cpt
"CPT","decreto_lei_3689_19411003, Art. 8º, caput",174,175,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DO INQUÉRITO POLICIAL | ] Havendo prisão em flagrante, será observado o disposto no Capítulo II do Título IX deste Livro.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art8_cpt
"CPT","decreto_lei_3689_19411003, Art. 9º, caput",178,179,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DO INQUÉRITO POLICIAL | ] Todas as peças do inquérito policial serão, num só processado, reduzidas a escrito ou datilografadas e, neste caso, rubricadas pela autoridade.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art9_cpt
"CPT","decreto_lei_3689_19411003, Art. 10., caput",182,183,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DO INQUÉRITO POLICIAL | ] O inquérito deverá terminar no prazo de 10 dias, se o indiciado tiver sido preso em flagrante, ou estiver preso preventivamente, contado o prazo, nesta hipótese, a partir do dia em que se executar a ordem de prisão, ou no prazo de 30 dias, quando estiver solto, mediante fiança ou sem ela.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art10_cpt
