Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"PAR","decreto_lei_2848_19401207, Art. 13., § 2º",112,119,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DO CRIME Relação de causalidade | ] A omissão é penalmente relevante quando o omitente devia e podia agir para evitar o resultado. O dever de agir incumbe a quem: tenha por lei obrigação de cuidado, proteção ou vigilância; de outra forma, assumiu a responsabilidade de impedir o resultado; com seu comportamento anterior, criou o risco da ocorrência do resultado. (Artigo com redação dada pela Lei nº 7.209, de 11.7.1984)",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art13_par2
"CPT","decreto_lei_2848_19401207, Art. 14., caput",122,127,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DO CRIME Relação de causalidade | ] Diz-se o crime: consumado, quando nele se reúnem todos os elementos de sua definição legal; tentado, quando, iniciada a execução, não se consuma por circunstâncias alheias à vontade do agente.",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art14_cpt
"PAR","decreto_lei_2848_19401207, Art. 14., Parágrafo único.",128,129,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DO CRIME Relação de causalidade | ] Salvo disposição em contrário, pune-se a tentativa com a pena correspondente ao crime consumado, diminuída de um a dois terços. (Artigo com redação dada pela Lei nº 7.209, de 11.7.1984)",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art14_par1u
"CPT","decreto_lei_2848_19401207, Art. 15., caput",132,133,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DO CRIME Relação de causalidade | ] O agente que, voluntariamente, desiste de prosseguir na execução ou impede que o resultado se produza, só responde pelos atos já praticados. (Artigo com redação dada pela Lei nº 7.209, de 11.7.1984)",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art15_cpt
"CPT","decreto_lei_2848_19401207, Art. 16., caput",136,137,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DO CRIME Relação de causalidade | ] Nos crimes cometidos sem violência ou grave ameaça à pessoa, reparado o dano ou restituída a coisa, até o recebimento da denúncia ou da queixa, por ato voluntário do agente, a pena será reduzida de um a dois terços. (Artigo com redação dada pela Lei nº 7.209, de 11.7.1984)",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art16_cpt
"CPT","decreto_lei_2848_19401207, Art. 17., caput",140,141,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DO CRIME Relação de causalidade | ] Não se pune a tentativa quando, por ineficácia absoluta do meio ou por absoluta impropriedade do objeto, é impossível consumar-se o crime. (Artigo com redação dada pela Lei nº 7.209, de 11.7.1984)",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art17_cpt
"CPT","decreto_lei_2848_19401207, Art. 18., caput",144,149,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DO CRIME Relação de causalidade | ] Diz-se o crime: doloso, quando o agente quis o resultado ou assumiu o risco de produzi-lo; culposo, quando o agente deu causa ao resultado por imprudência, negligência ou imperícia.",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art18_cpt
"PAR","decreto_lei_2848_19401207, Art. 18., Parágrafo único.",150,151,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DO CRIME Relação de causalidade | ] Salvo os casos expressos em lei, ninguém pode ser punido por fato previsto como crime, senão quando o pratica dolosamente. (Artigo com redação dada pela Lei nº 7.209, de 11.7.1984)",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art18_par1u
"CPT","decreto_lei_2848_19401207, Art. 19., caput",154,155,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DO CRIME Relação de causalidade | ] Pelo resultado que agrava especialmente a pena, só responde o agente que o houver causado ao menos culposamente. (Artigo com redação dada pela Lei nº 7.209, de 11.7.1984)",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art19_cpt
"CPT","decreto_lei_2848_19401207, Art. 20., caput",158,159,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DO CRIME Relação de causalidade | ] O erro sobre elemento constitutivo do tipo legal de crime exclui o dolo, mas permite a punição por crime culposo, se previsto em lei.",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art20_cpt
