Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","lei_4117_19620827, Art. 14., caput",129,130,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] É criado o Conselho Nacional de Telecomunicações (C.O.N.T.E.L.), com a organização e competência, definidas nesta lei, diretamente subordinado ao Presidente da República. (Expressões “e competência” e “diretamente subordinado ao Presidente da República” vetadas pelo Presidente da República e mantidas pelo Congresso Nacional, em 17.12.1962).",urn:lex:br:federal:lei:1962-08-27;4117!art14_cpt
"CPT","lei_4117_19620827, Art. 15., caput",133,148,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] O Conselho Nacional de Telecomunicações terá um Presidente de livre nomeação do Presidente da República e será constituído: do Diretor do Departamento dos Correios e Telégrafos em exercício no referido cargo, o qual pode ser representado por pessoa escolhida entre os membros de seu Gabinete ou Diretores de sua repartição; (Expressão “pessoa escolhida entre os membros de seu Gabinete ou” vetada pelo Presidente da República e mantida pelo Congresso Nacional, em 17.12.1962) de 3 (três) membros indicados, respectivamente, pelos Ministros da Guerra, Marinha e Aeronáutica; de 1 (um) membro indicado pelo Chefe do Estado Maior das Forças Armadas; de 4 (quatro) membros indicados, respectivamente pelos Ministros da Justiça e Negócios Interiores, da Educação e Cultura, das Relações Exteriores e da Indústria e Comércio; de 3 (três) representantes dos 3 (três) maiores partidos políticos, segundo a respectiva representação na Câmara dos Deputados no início da legislatura, indicados pela direção nacional de cada agremiação. (Alínea vetada pelo Presidente da República e mantida pelo Congresso Nacional, em 17.12.1962) do diretor da empresa pública que terá a seu cargo a exploração dos troncos do Sistema Nacional de Telecomunicações e serviços correlatos, o qual pode ser representado por pessoa escolhida entre os membros de seu Gabinete ou Diretores da empresa; (Expressões “dos troncos” e “pessoa escolhida entre os membros de seu Gabinete ou” vetadas pelo Presidente da República e mantidas pelo Congresso Nacional, em 17.12.1962) do Diretor Geral do Departamento Nacional de Telecomunicações, sem direito a voto. (Alínea vetada pelo Presidente da República e mantida pelo Congresso Nacional, em 17.12.1962)",urn:lex:br:federal:lei:1962-08-27;4117!art15_cpt
"PAR","lei_4117_19620827, Art. 15., § 1º",149,150,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] Se os três partidos a que se refere a alínea ""e"" estiveram todos apoiando o Governo, o partido de menor representação será substituído pelo maior partido de oposição, com representação na Câmara dos Deputados. (Parágrafo vetado pelo Presidente da República e mantido pelo Congresso Nacional, em 17.12.1962)",urn:lex:br:federal:lei:1962-08-27;4117!art15_par1
"PAR","lei_4117_19620827, Art. 15., § 2º",151,152,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] Os representantes dos partidos políticos de que trata este artigo serão indicados até 30 (trinta) dias após o início de cada legislatura. (Parágrafo vetado pelo Presidente da República e mantido pelo Congresso Nacional, em 17.12.1962)",urn:lex:br:federal:lei:1962-08-27;4117!art15_par2
"CPT","lei_4117_19620827, Art. 16., caput",155,156,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] O mandato dos membros do Conselho mencionado nas alíneas b, c, d, e e terá a duração de 4 (quatro) anos. (Expressão “e e” vetada pelo Presidente da República e mantida pelo Congresso Nacional, em 17.12.1962)",urn:lex:br:federal:lei:1962-08-27;4117!art16_cpt
"PAR","lei_4117_19620827, Art. 16., Parágrafo único.",157,158,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] Será de dois anos apenas o primeiro mandato dos membros indicados nas alíneas ""b"" e “e” observado o disposto no § 2º do artigo anterior. (Parágrafo único vetado pelo Presidente da República e mantido pelo Congresso Nacional, em 17.12.1962)",urn:lex:br:federal:lei:1962-08-27;4117!art16_par1u
"CPT","lei_4117_19620827, Art. 17., caput",161,162,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] Em caso de vaga, o membro que for nomeado em substituição exercerá o mandato até o fim do período que caberia ao substituído.",urn:lex:br:federal:lei:1962-08-27;4117!art17_cpt
"PAR","lei_4117_19620827, Art. 17., Parágrafo único.",163,164,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] É vedada a substituição dos membros do Conselho no decurso do mandato, salvo por justa causa verificada mediante inquérito administrativo, sob pena de nulidade das decisões tomadas com o voto do substituto.",urn:lex:br:federal:lei:1962-08-27;4117!art17_par1u
"CPT","lei_4117_19620827, Art. 18., caput",167,168,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] O membro do Conselho que faltar, sem motivo justo, a 3 (três) reuniões consecutivas perderá automaticamente o cargo.",urn:lex:br:federal:lei:1962-08-27;4117!art18_cpt
"PAR","lei_4117_19620827, Art. 18., § 1º",169,170,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] O Regimento Interno do Conselho disporá sobre a justificação das faltas.",urn:lex:br:federal:lei:1962-08-27;4117!art18_par1
