Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","decreto_2615_1998.anexo1, Art. 18., caput",129,130,"[ DA AUTORIZAÇÃO | ] A cada entidade será expedida apenas uma autorização para execução do RadCom.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art18_cpt
"PAR","decreto_2615_1998.anexo1, Art. 18., Parágrafo único.",131,132,"[ DA AUTORIZAÇÃO | ] É vedada a expedição de autorização para entidades prestadoras de qualquer outra modalidade de serviço de radiodifusão ou de serviços de distribuição de sinais de televisão mediante assinatura, bem como a entidade que tenha como integrante de seus quadros de sócios e de administradores pessoas que, nestas condições, participem de outra entidade detentora de outorga para execução de qualquer dos serviços mencionados.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art18_par1u
"CPT","decreto_2615_1998.anexo1, Art. 19., caput",137,138,"[ DA FORMALIZAÇÃO DA AUTORIZAÇÃO | ] A autorização para execução do RadCom será formalizada mediante ato do Ministério das Comunicações, que deverá conter, pelo menos, a denominação da entidade, o objeto e o prazo de autorização, a área de cobertura da emissora e o prazo para início da execução do Serviço.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art19_cpt
"CPT","decreto_2615_1998.anexo1, Art. 20., caput",141,142,"[ DA FORMALIZAÇÃO DA AUTORIZAÇÃO | ] O Ministério das Comunicações providenciará a publicação, no Diário Oficial da União, do resumo do ato de autorização, como condição indispensável para sua eficácia, nos termos dos instrumentos aplicáveis.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art20_cpt
"CPT","decreto_2615_1998.anexo1, Art. 21., caput",147,148,"[ DA INSTALAÇÃO DE EMISSORA DO SERVIÇO DE RADIODIFUSÃO COMUNITÁRIA | ] As condições necessárias à instalação da emissora, bem como o prazo para o início efetivo da execução do RadCom, serão estabelecidos pelo Ministério das Comunicações em norma complementar.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art21_cpt
"PAR","decreto_2615_1998.anexo1, Art. 21., Parágrafo único.",149,150,"[ DA INSTALAÇÃO DE EMISSORA DO SERVIÇO DE RADIODIFUSÃO COMUNITÁRIA | ] O prazo mencionado neste artigo será contado a partir da data de publicação do ato de autorização.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art21_par1u
"CPT","decreto_2615_1998.anexo1, Art. 22., caput",153,154,"[ DA INSTALAÇÃO DE EMISSORA DO SERVIÇO DE RADIODIFUSÃO COMUNITÁRIA | ] Dentro do prazo que lhe é concedido para iniciar a execução do Serviço, a entidade deverá requerer a emissão de Licença para Funcionamento de Estação, devendo instruir o requerimento de acordo com o estabelecido em norma complementar.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art22_cpt
"CPT","decreto_2615_1998.anexo1, Art. 23., caput",159,160,"[ DA EXECUÇÃO DO SERVIÇO | ] O Ministério das Comunicações disporá, em norma complementar, sobre as características de operação das emissoras do RadCom.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art23_cpt
"CPT","decreto_2615_1998.anexo1, Art. 24., caput",163,164,"[ DA EXECUÇÃO DO SERVIÇO | ] Os equipamentos utilizados no RadCom serão certificados pela ANATEL, devendo ser pré-sintonizados na freqüência de operação consignada à emissora.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art24_cpt
"CPT","decreto_2615_1998.anexo1, Art. 25., caput",167,168,"[ DA EXECUÇÃO DO SERVIÇO | ] A emissora do RadCom operará sem direito a proteção contra eventuais interferências causadas por estações de Serviços de Telecomunicações e de Radiodifusão regularmente instaladas.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art25_cpt
"CPT","decreto_2615_1998.anexo1, Art. 26., caput",171,172,"[ DA EXECUÇÃO DO SERVIÇO | ] Caso uma emissora do RadCom provoque interferência indesejável nos demais Serviços regulares de Telecomunicações e de Radiodifusão, a ANATEL determinará a interrupção do serviço da emissora de RadCom interferente, no prazo fixado em norma complementar, até a completa eliminação da causa da interferência.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art26_cpt
"CPT","decreto_2615_1998.anexo1, Art. 27., caput",175,176,"[ DA EXECUÇÃO DO SERVIÇO | ] Caso uma emissora do RadCom provoque interferência prejudicial nos demais Serviços regulares de Telecomunicações e de Radiodifusão, a ANATEL determinará a imediata interrupção do seu funcionamento, até à completa eliminação da causa da interferência.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art27_cpt
"CPT","decreto_2615_1998.anexo1, Art. 28., caput",179,180,"[ DA EXECUÇÃO DO SERVIÇO | ] As emissoras do RadCom cumprirão período de oito horas, contínuas ou não, como tempo mínimo de operação diária.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art28_cpt
"CPT","decreto_2615_1998.anexo1, Art. 29., caput",183,184,"[ DA EXECUÇÃO DO SERVIÇO | ] É vedada a formação de redes na execução do RadCom, excetuadas as situações de guerra, calamidade pública e epidemias, bem como as transmissões obrigatórias dos Poderes Executivo, Judiciário e Legislativo, definidas em lei.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art29_cpt
